ID,State,StartTime,EndTime,StopTime,duration,workTag,Tags,runAttemptCount,stopReason,Pid/Tid,Temp(℃),totalPSS(MB),CPU(%),msg
3eac207c-ed42-4bdf-8a6c-3e72ef8a4caf-0,END,2026/07/13 18:08:44.334,2026/07/13 18:08:44.386,,00:00:00.052,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9245,36.4,80.5,21.2,my_contact_profile:9:noData:36.4:0.2:0.2:on;my_contact_profile:8:0.0:0.00:0.1:0.1:0:0:0:1;
eb984d3a-7528-4db7-8ad3-0c577d0abdc9-0,END,2026/07/13 18:08:34.292,2026/07/13 18:08:34.298,,00:00:00.006,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9844,36.6,80.1,0.0,
﻿15898680-0da9-4b2e-b159-7b34b53e233c-0,END,2026/07/13 18:08:34.293,2026/07/13 18:08:34.299,,00:00:00.006,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9561,36.6,80.1,0.0,
850b3c12-48ab-462a-9957-590ea0a62665-0,END,2026/07/13 18:08:24.378,2026/07/13 18:08:24.474,,00:00:00.096,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9246,36.6,79.9,16.8,contacts:56:noData:36.6:0.6:-0.0:on;contacts:55:14.2:0.00:0.5:0.0:0:0:0:1;
2fd9eb18-4186-4df9-b4b8-c013142c16a2-0,END,2026/07/13 18:08:24.374,2026/07/13 18:08:24.435,,00:00:00.061,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9561,36.6,79.7,19.2,my_contact_profile:18:noData:36.6:0.3:0.2:on;my_contact_profile:16:16.9:0.00:0.1:0.2:0:0:0:1;
572d2515-9e42-4b9c-a36e-3b78685c0091-0,END,2026/07/13 18:08:24.086,2026/07/13 18:08:24.092,,00:00:00.006,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9844,36.6,79.2,0.0,
f5e67bf9-07c1-45bb-a627-f74752bf7567-0,END,2026/07/13 18:08:24.086,2026/07/13 18:08:24.092,,00:00:00.006,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9246,36.6,79.2,0.0,
9f1183c7-170e-427b-9b27-76c475ec476d-0,END,2026/07/13 18:08:14.341,2026/07/13 18:08:14.344,,00:00:00.003,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9245,36.6,78.6,0.0,
0a3bf428-356a-4adc-bb12-7fda7bd1d01b-0,END,2026/07/13 18:08:14.330,2026/07/13 18:08:14.339,,00:00:00.009,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9561,36.6,78.4,0.0,
17d2e6c3-cad7-4888-80d9-46a01e28dc35-0,END,2026/07/13 18:03:43.673,2026/07/13 18:03:43.889,,00:00:00.216,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9245,38.9,78.8,24.1,contacts:60:noData:38.9:0.6:0.2:on;contacts:57:17.7:0.00:0.3:0.2:0:0:0:1;
2ab3373b-586f-4964-8a2d-4eb707b68066-0,END,2026/07/13 18:03:43.605,2026/07/13 18:03:43.785,,00:00:00.180,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9246,38.9,81.7,20.9,my_contact_profile:13:noData:38.9:0.5:0.0:on;my_contact_profile:12:28.3:0.00:0.1:0.0:0:0:0:1;
5f06da20-6dbf-4a09-bf7d-374c320ce158-0,END,2026/07/13 18:03:43.644,2026/07/13 18:03:43.648,,00:00:00.004,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,38.9,81.4,0.0,
159a06cd-04dd-4198-b0fd-f79b86fbe02e-0,END,2026/07/13 18:03:43.638,2026/07/13 18:03:43.648,,00:00:00.010,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9561,38.9,81.4,0.0,
6bb84595-6878-4df2-bc2a-4d17789e50c8-0,END,2026/07/13 18:03:33.607,2026/07/13 18:03:33.614,,00:00:00.007,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9561,38.9,81.3,0.0,
2d791a7e-148f-4bb1-9ded-23ed08468880-0,END,2026/07/13 18:03:33.560,2026/07/13 18:03:33.565,,00:00:00.005,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9245,38.9,81.2,0.0,
21d12594-7eda-48fa-a8fb-72ffd50cae97-0,END,2026/07/13 18:03:22.789,2026/07/13 18:03:23.199,,00:00:00.410,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9245,38.7,81.0,15.5,contacts:234:noData:38.7:0.5:-3.3:on;contacts:228:10.4:0.00:0.5:-3.3:0:0:0:1;
9bc496d1-9986-4fe9-8af6-762416f61ae3-0,END,2026/07/13 18:03:22.789,2026/07/13 18:03:23.062,,00:00:00.273,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9561,38.7,80.0,18.2,my_contact_profile:45:noData:38.7:0.4:-3.2:on;my_contact_profile:39:6.9:0.00:0.2:-0.9:0:0:0:1;
72bb2c0f-fe84-462c-ac4c-d773b5599a11-0,END,2026/07/13 18:03:22.738,2026/07/13 18:03:22.750,,00:00:00.012,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9246,38.7,78.2,10.8,
d6f3bd84-e26b-478f-a2ca-465a190b76c6-0,END,2026/07/13 18:03:22.737,2026/07/13 18:03:22.751,,00:00:00.014,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,38.7,78.2,12.1,
3af8c81e-7cba-4f52-915b-e84a607348f5-0,END,2026/07/13 18:03:12.626,2026/07/13 18:03:12.690,,00:00:00.064,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9245,38.5,75.2,5.6,
d3481121-d7e7-4646-bc0e-63fc9f83d275-0,END,2026/07/13 18:03:12.633,2026/07/13 18:03:12.692,,00:00:00.059,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9561,38.5,75.5,5.9,
264ba858-adc8-4d84-81fd-45bd4d1ed536-0,END,2026/07/13 18:00:42.855,2026/07/13 18:00:45.705,,00:00:02.850,DAILY_ANALYTICS,,0,NOT_STOPPED,8838/9246,36.3,106.9,5.5,
a9b3e8e0-49ae-49c0-8345-e388afac0f58-0,END,2026/07/13 18:00:42.972,2026/07/13 18:00:44.796,,00:00:01.824,DAILY_COLLECTOR_ANALYTICS,,0,NOT_STOPPED,8838/9844,36.3,106.6,4.9,
72966754-b363-4634-a3ad-a0f92dceb87a-0,END,2026/07/13 18:00:44.202,2026/07/13 18:00:44.296,,00:00:00.094,SEARCH_INDEXING,,0,NOT_STOPPED,8838/9245,36.3,91.5,16.6,Not compliant
